price,href,maker,model,year
"119,900 ج.م.",/NewCars/Engines/3523,  أم جي,MG 3 Cross Over,2014
"94,900 ج.م.,109,900 ج.م.","/NewCars/Engines/3177,/NewCars/Engines/3178",  أم جي,MG 3,2015
"139,900 ج.م.,149,900 ج.م.","/NewCars/Engines/3630,/NewCars/Engines/3631",  أم جي,MG 5,2015
"199,500 ج.م.,234,500 ج.م.","/NewCars/Engines/3632,/NewCars/Engines/3633",  أم جي,MG 750,2015
"124,900 ج.م.,134,900 ج.م.,109,900 ج.م.","/NewCars/Engines/3180,/NewCars/Engines/3628,/NewCars/Engines/3179",  أم جي,MG 350,2015
"224,990 ج.م.",/NewCars/Engines/3419,  أوبل,GTC أسترا,2015
"188,000 ج.م.,210,000 ج.م.","/NewCars/Engines/3343,/NewCars/Engines/3941",  أوبل,أسترا,2016
"163,000 ج.م.",/NewCars/Engines/3373,  أوبل,كورسا,2016
"254,000 ج.م.,282,000 ج.م.,305,000 ج.م.","/NewCars/Engines/3635,/NewCars/Engines/3636,/NewCars/Engines/3637",  أوبل,انسيجنيا,2016
"165,000 ج.م.",/NewCars/Engines/3893,  أوبل,ادم,2016
"174,000 ج.م.,185,000 ج.م.","/NewCars/Engines/3894,/NewCars/Engines/3895",  أوبل,ميريفا,2016
"369,000 ج.م.",/NewCars/Engines/3909,  أوبل,كاسكادا,2016
"380,000 ج.م.,465,000 ج.م.,440,000 ج.م.","/NewCars/Engines/3053,/NewCars/Engines/3244,/NewCars/Engines/3710",  أودى,A4,2015
"510,000 ج.م.,490,000 ج.م.","/NewCars/Engines/3756,/NewCars/Engines/3578",  أودى,A5,2015
"230,000 ج.م.,290,000 ج.م.","/NewCars/Engines/3772,/NewCars/Engines/2859",  أودى,A1,2015
"275,000 ج.م.,315,000 ج.م.,325,000 ج.م.,350,000 ج.م.","/NewCars/Engines/3435,/NewCars/Engines/3939,/NewCars/Engines/3436,/NewCars/Engines/2860",  أودى,A3,2016
"675,000 ج.م.",/NewCars/Engines/2865,  أودى,A6,2016
"1,380,000 ج.م.",/NewCars/Engines/3057,  أودى,Q7,2016
"700,000 ج.م.",/NewCars/Engines/3055,  أودى,Q5,2016
"1,000,000 ج.م.",/NewCars/Engines/2867,  أودى,A7,2016
"380,000 ج.م.,420,000 ج.م.","/NewCars/Engines/3711,/NewCars/Engines/3712",  أودى,Q3,2016
"196,900 ج.م.,224,000 ج.م.","/NewCars/Engines/3811,/NewCars/Engines/3812",  الفا روميو,ميتو,2015
"269,000 ج.م.,310,000 ج.م.,265,000 ج.م.","/NewCars/Engines/3814,/NewCars/Engines/3815,/NewCars/Engines/3813",  الفا روميو,جولياتا,2015
"325,000 ج.م.",/NewCars/Engines/3816,  الفا روميو,جولياتا كوادري فوليو فيردي,2015
"1,390,000 ج.م.",/NewCars/Engines/3817,  الفا روميو,4C,2015
"118,900 ج.م.,112,900 ج.م.","/NewCars/Engines/3342,/NewCars/Engines/3341",  بروتون,جين 2,2015
"118,900 ج.م.,112,900 ج.م.","/NewCars/Engines/3340,/NewCars/Engines/3339",  بروتون,برسونا,2015
"112,000 ج.م.,93,000 ج.م.","/NewCars/Engines/3454,/NewCars/Engines/3453",  بريليانس,FRV كروس,2015
"97,000 ج.م.",/NewCars/Engines/3810,  بريليانس,S30,2015
"157,000 ج.م.,165,000 ج.م.","/NewCars/Engines/3451,/NewCars/Engines/3452",  بريليانس,V5,2016
"1,235,000 ج.م.,2,427,000 ج.م.","/NewCars/Engines/3166,/NewCars/Engines/3169",  بورش,كايين,2014
"1,378,000 ج.م.,1,460,000 ج.م.","/NewCars/Engines/3168,/NewCars/Engines/3167",  بورش,كايين,2014
"1,137,000 ج.م.",/NewCars/Engines/3153,  بورش,كايمان اس,2014
"1,001,000 ج.م.",/NewCars/Engines/3152,  بورش,كايمان,2014
"1,585,000 ج.م.,1,799,000 ج.م.","/NewCars/Engines/3154,/NewCars/Engines/3156",  بورش,كاريرا,2014
"1,921,000 ج.م.,3,319,000 ج.م.","/NewCars/Engines/3170,/NewCars/Engines/3173",  بورش,باناميرا,2014
"972,000 ج.م.",/NewCars/Engines/3150,  بورش,بوكستر,2014
"2,615,000 ج.م.,2,829,000 ج.م.","/NewCars/Engines/3162,/NewCars/Engines/3163",  بورش,911,2014
"1,868,000 ج.م.",/NewCars/Engines/3164,  بورش,تارجا 4,2014
"2,110,000 ج.م.",/NewCars/Engines/3165,  بورش,4S تارجا,2014
"1,705,000 ج.م.,1,918,000 ج.م.","/NewCars/Engines/3158,/NewCars/Engines/3159",  بورش,كاريرا 4,2014
"1,827,000 ج.م.,2,042,000 ج.م.","/NewCars/Engines/3155,/NewCars/Engines/3157",  بورش,S كاريرا,2014
"1,948,000 ج.م.,2,167,000 ج.م.","/NewCars/Engines/3160,/NewCars/Engines/3161",  بورش,4S كاريرا,2014
"1,069,000 ج.م.",/NewCars/Engines/3151,  بورش,S بوكستر,2014
"2,039,000 ج.م.",/NewCars/Engines/3171,  بورش,باناميرا 4,2014
"2,296,000 ج.م.,2,402,000 ج.م.","/NewCars/Engines/3172,/NewCars/Engines/3174",  بورش,S باناميرا,2014
"2,417,000 ج.م.",/NewCars/Engines/3175,  بورش,4S باناميرا,2014
"2,453,000 ج.م.",/NewCars/Engines/3176,  بورش,GTS باناميرا,2014
"565,000 ج.م.,650,000 ج.م.","/NewCars/Engines/3407,/NewCars/Engines/3143",  بى ام دبليو,520i,2016
